1,Real Madrid,19,11,5,3,30,14,+16,38
2,FC Sevilla,19,9,6,4,28,20,+8,33
3,FC Barcelona,19,9,5,5,34,22,+12,32
4,Atletico Madrid,19,6,10,3,23,16,+7,28
5,Villarreal,19,9,1,9,26,24,+2,28
6,Real Sociedad,19,7,4,8,23,28,-5,25
7,Getafe,19,6,6,7,18,17,+1,24
8,Osasuna,19,6,6,7,20,25,-5,24
9,Granada,19,6,5,8,26,29,-3,23
10,Athletic Bilbao,19,4,8,7,20,24,-4,20
11,Levante,19,5,2,12,20,34,-14,17
12,Valladolid,19,4,5,10,14,28,-14,17
13,Leganes,19,3,7,9,13,25,-12,16
14,Eibar,19,3,6,10,14,31,-17,15
15,Celta Vigo,19,2,8,9,15,29,-14,14
16,Espanyol,19,3,4,12,12,27,-15,13
17,Valencia,19,3,4,12,17,37,-20,13
18,Alaves,19,3,3,13,14,40,-26,12
19,Real Betis,19,1,7,11,14,33,-19,10
20,Mallorca,19,1,3,15,15,43,-28,6
