1,FC Barcelona,19,16,2,1,52,16,+36,50
2,Real Madrid,19,15,4,0,40,11,+29,49
3,Atletico Madrid,19,12,6,1,28,11,+17,42
4,Valencia,19,11,7,1,29,16,+13,40
5,FC Sevilla,19,10,7,2,26,14,+12,37
6,Granada,19,10,3,6,26,16,+10,33
7,Villarreal,19,9,5,5,37,25,+12,32
8,Levante,19,9,5,5,27,19,+8,32
9,Real Sociedad,19,9,4,6,33,20,+13,31
10,Real Betis,19,9,4,6,34,27,+7,31
11,Athletic Bilbao,19,9,4,6,21,14,+7,31
12,Getafe,19,8,6,5,25,20,+5,30
13,Osasuna,19,7,7,5,26,29,-3,28
14,Mallorca,19,8,3,8,25,22,+3,27
15,Alaves,19,7,6,6,20,19,+1,27
16,Eibar,19,8,3,8,25,25,0,27
17,Valladolid,19,5,10,4,18,15,+3,25
18,Celta Vigo,19,5,8,6,22,20,+2,23
19,Leganes,19,5,5,9,17,26,-9,20
20,Espanyol,19,2,6,11,15,31,-16,12
